titulo,fecha,recinto,hora,duración,precio,descripción,link_compra,imagen url
ALLINONE,12 de Nov.,AUDITORIO ALFREDO KRAUS,12:00,No definido,Desde 3.50 €,"Promuscan presenta una nueva edición de 'Allinone', el espectro sonoro de un solo instrumento con obras de autores contemporáneos canarios. 
Con la interpretación de la destacada flautista Carmen Ojeda, acompañada por electroacústica, presentando piezas como Asleep, my love, de Daniel Roca y El Bosque Encantado, de Tomás Rivero, entre otras cinco composiciones canarias.

Promuscan y el Auditorio Alfredo Kraus te ofrece la oportunidad de conocer las nuevas obras canarias creadas para un instrumento con una nueva edición de 'Allinone', con Carmen Ojeda como solista de flauta acompañada con electroacústica. 
Se trata de una experiencia musical única con composiciones de autor canario para flauta sola o con electroacústica con una nueva edición de 'Allinone', los conciertos impulsados por Promuscan dedicados a obras escritas para un solo instrumento, basados en la idea de que el creador debe condensar un concepto en el espectro sonoro de un solo instrumento, que podría estar repartido o extendido en un formato instrumental superior en texturas y otras posibilidades. 
'Allinone' hace referencia a ese juego de palabras del inglés que significa concentrar todo el material en una sola herramienta instrumental: ‘all in one’. 
Para esta ocasión, la solista Carmen Ojeda, destacada flautista, nos deleitará con su talento, acompañada de electroacústica, presentando piezas como Asleep, my love de Daniel Roca y El Bosque Encantado, de Tomás Rivero, entre otras cinco composiciones canarias.
Este concierto es una oportunidad para apreciar la riqueza y diversidad de la música canaria contemporánea.
facebook.com/promuscan
youtube.com/@promuscan
instagram.com/promuscan",https://entrees.es/checkout/allinone/11109,https://media.entrees.es/fbdd315cd54e4212e2f3e3f25335ec6c.webp?q=822ea50dd489887d5ea37f62afff3b5a
REVOLVER,12 de Nov.,AUDITORIO ALFREDO KRAUS,19:00,No definido,Desde 17.50 €,"Revólver presenta nueva gira “Adictos a la Euforia”. Frente a los tiempos convulsos y llenos de incertidumbre que vivimos, Adictos a la Euforia es una declaración de intenciones, un álbum contundente y sin nostalgia que invita a ver las cosas desde otro lugar. Carlos Goñi, más protagonista que nunca de su propio proyecto al frente de Revólver, presenta un concierto con sus temas de siempre y las nuevas canciones de este nuevo álbum lleno de buenas canciones.",https://entrees.es/checkout/revolver/10968,https://media.entrees.es/ee6006881f79e8ad19c13a5ffc4a28e4.webp?q=aec929eaf72f65ae779b1769c0c9ed9e
CASAFOBIA,16 de Nov.,Teatro Víctor Jara,20:00,1 Horas,Desde 8.00 €,"Una niña muy desinquieta acude a terapia de la mano de su padre. Ella trae ya un nombre para su problema: tiene Casafobia, no soporta estar en la casa, se le cae encima y sólo quiere estar en la calle bailando. El terapeuta, incrédulo se ríe de ella y de su síndrome inventado, pero horas después cuando regresa a casa después del trabajo recibe tres sorprendentes visitas: los fantasmas de su casafobia pasada, presente y futura.
  Autor y dirección del espectáculo: Luis R. Lorite
Apoyo en la dramaturgía: Pamela Palenciano y Fernando López
Reparto: Cathy Pulido, Álbaro Expóxito y Juan León

n únicamente un monólogo. Es un espectáculo que combina lo que y cómo",https://entrees.es/checkout/casafobia/11007,https://media.entrees.es/131b5f12ec61b344c83447ef11e91da8.jpg
AMA,Varias fechas,TEATRO PÉREZ GALDÓS,HORAS EN ENLACE DE COMPRA,No definido,Desde 18.00 €,"El nuevo proyecto teatral de la compañía Marie de Jongh expone, sin palabras ni artificios, los sentimientos humanos.",https://entrees.es/checkout/ama/10978,https://media.entrees.es/0f4428f9658d1fe5d6c33da2d5776dd9.webp?q=b0a90c5460e7fc1f10a3713debeb4222
EL NOMBRE DE LA ROSA,17 de Nov.,Teatro Víctor Jara,20:30,1 Horas 30 Minutos,Desde 12.00 €,"Abubukaka trae a las tablas una adaptación de El nombre de la rosa en clave de comedia. Esta adaptación respeta la carcasa de las dos tramas de la novela, pero rellenándolas de gracia terrena.
Si bien en nuestra adaptación la causa franciscana quedará un tanto eclipsada por un aspecto de la misma que es la que justifica este proyecto: El valor del conocimiento. Abubukaka pretende contemplar a través de las lentes de Guillermo de Baskerville la fuente de la verdad, corroborar que la fuente es fiable y, entonces y solo entonces, emitir un juicio. Para ello habrá que disipar el misterio, doblegar al miedo y domesticar al apocalipsis, y la mejor manera de hacerlo es la comedia, y es que como bien dice la propia novela: ""La risa mata el miedo y sin el miedo ya no hay necesidad de Dios.”
  Autor del espectáculo: Adaptación libre de Umberto Ecco por Abubukaka
Dirección del espectáculo: Abubukaka
Ayudante de dirección: Fran Pedrianes
Reparto: Amanhuy Cala Yanes, Diego Lupiáñez Frías, Carlos Jonás Pedrós Benítez y Víctor Gutiérrez Ferrera",https://entrees.es/checkout/el-nombre-de-la-rosa/10823,https://media.entrees.es/1562cf325ba7ad4446c237473e7a5e9c.jpg
"""YO TAMBIÉN FUI HETERO"" DE OMAYRA CAZORLA",17 de Nov.,"Centro Cultural Federico García Lorca, Ingenio",20:30,1 Horas 15 Minutos,10.00 €,"  Ironía, picardía y humor se unen para contar una historia desde la perspectiva de una lesbiana. Sí, yo también fui hetero. Yo también he probado a un hombre. Y él me ha probado a mí. Yo también puedo hablar de ello, aunque muchas veces
intente parecer mujer de mujer. Solo mujeres. Yo que tú, si eres hombre, vendría.
Yo que tú, si estás con un hombre, lo animaría a venir. Todo es posible dentro del mundo de Omayra Cazorla. Eso sí, no vengan con niñ@s a no ser que tu educación sea libre. Advertidos quedan.
#loquehay",https://entrees.es/checkout/yo-tambien-fui-hetero-de-omayra-cazorla/11035,https://media.entrees.es/5c4e687a0a9af7f172de4481366381d4.webp?q=e19515733dfd587a545f5ae9c66a71d3
"ANIMUNDO, Feria del Animal de Compañía",18 y 19 de noviembre,"Infecar, Feria de Gran Canaria",HORAS EN ENLACE DE COMPRA,9 Horas 30 Minutos,1.50 €,"ANIMUNDO, Feria del Animal de Compañía
Animundo, Feria del Animal de Compañía, promovida por el Cabildo de Gran Canaria y organizada por Infecar, Feria de Gran Canaria, es un encuentro para los profesionales, familias y amantes de los animales que deseen encontrar en un mismo espacio, productos y servicios para el cuidado responsable de los animales de compañía (en ningún caso la venta de animales). Un espacio donde promover la salud, el cuidado, bienestar y tenencia responsable y respetuosa de animales de compañía y donde se podrá disfrutar de un amplio programa de actividades con charlas, talleres, exhibiciones y pasarela de adopciones de perros o gestionar citas con el Albergue Insular de Animales de Gran Canaria para formalizar posteriormente otras adopciones de perros y gatos. Además, se contará con área de restauración, Pipi Can, parque canino con piscina y zona de exhibiciones.
Se permitirá a los visitantes acceder al recinto con su perro, siempre que este sea su propietario o persona debidamente autorizada y previo cumplimiento de las normas de acceso establecidas y que están publicadas en www.animundo.es",https://entrees.es/checkout/animundo-feria-del-animal-de-compania-2023/11116,https://media.entrees.es/9ba1ae03b9901895f77d548b3a7af0f5.webp?q=d0cc68bb3e6fb3cd0b2de703188a81f8
EL MONAGUILLO. ¿SÓLO LO VEO YO?,18 de Nov.,Teatro Víctor Jara,20:00,1 Horas 15 Minutos,Desde 20.00 €,"¿Sólo lo veo yo? Sergio Fernández El Monaguillo. A punto de cumplir 20 años subido a los escenarios, y le siguen dejando… ¡¡Vuelve Sergio Fernández “EL MONAGUILLO”!! Con un espectáculo realmente divertido,
¡No te lo puedes perder! Sus mejores monólogos, antología de sus divertidas reflexiones, y hasta un paseo por su infancia con las películas que más le han marcado… Bailaremos, cantaremos y será una fiesta… o ¿solo lo veo yo? Podríamos decirte que es el último espectáculo de El Monaguillo, pero no...
Aún le queda mucha hipoteca que pagar. ¡Por eso no puedes perdértelo! Tiene más hambre de comedia que nunca... Lo has visto en EL HORMIGUERO, ME RESBALA, y muchos programas más, ahora lo tendrás en su espectáculo y al alcance de la mano, pero cuidado con los relojes que le queda mucha hipoteca por pagar... Magia, prestidigitación, hipnosis... ¡No hace nada de eso, pero te prometemos que te reirás! 100% Monaguillo para todos los públicos.",https://entrees.es/checkout/el-monaguillo-solo-lo-veo-yo/10820,https://media.entrees.es/31c014b71739dab6d243ed9ebe118d21.jpg
EL LAGO DE LOS CISNES,18 de Nov.,AUDITORIO ALFREDO KRAUS,20:00,No definido,Desde 25.00 €,"Obra magistral de Tchaikovsky y del ballet clásico. Una leyenda eterna que narra la historia del Príncipe Sigfrido enamorado de la bella princesa Odette, hechizada esta por un malvado brujo que la convierte en cisne-mujer. La fuerza del amor que sienten los jóvenes les liberará de todo maleficio.

La International Ballet Company, aclamada compañía integrada por solistas de Moldavia, Ucrania e Italia entre otros países, nos invita, dentro de su Gira de Invierno 2023, a disfrutar de una de las obras más emblemáticas del repertorio clásico de ballet, el “Lago de los Cisnes”.
LAGO DE LOS CISNES
Obra magistral de Tchaikovsky y del ballet clásico. Una leyenda eterna que narra la historia del Príncipe Sigfrido enamorado de la bella princesa Odette, hechizada esta por un malvado brujo que la convierte en cisne-mujer. La fuerza del amor que sienten los jóvenes les liberará de todo maleficio.",https://entrees.es/checkout/el-lago-de-los-cisnes/9050,https://media.entrees.es/42e43d0038ccb1eea153590289a1837e.webp?q=d9e7e3f2c80fa39cf038002082a82e86
ETÉREO,19 de Nov.,Teatro Municipal Juan Ramón Jiménez,12:00,1 Horas,10.00 €,"ETÉREO. Un espectáculo de magia de Samuel Moreno
   ",https://entrees.es/checkout/etereo/11082,https://media.entrees.es/bcc4d8a908ae85687996482cee8158cd.webp?q=58d37ec678833c20be448f505bda1b46
