titulo,imagen,descripcion,fecha,lugar,hora,precios en puerta y web,link de compra
SÁBADOS DE TERRACEO,https://www.fabricaisleta.com/wp-content/uploads/2023/10/TERRACEO_sabados-2.jpg,"Este mes de NOVIEMBRE  comienza el terraceo todos los sábados.
A partir de las 18:00 puedes venir a nuestra terraza para disfrutar de la música en acústico con diferentes estilos musicales. Si vienes a las 6 podrás conversar con los músicos del día.",NO HAY FECHA DISPONIBLE,Fábrica la Isleta,18:00h,PRECIOS NO DISPONIBLES,ENTRADAS NO DISPONIBLES PARA COMPRAR EN WEB
JAZZ VINOS Y QUESOS,https://www.fabricaisleta.com/wp-content/uploads/2023/10/JAZZ_vinos_quesos_GENERAL-1.jpg,Comenzamos a las 18:00h con picoteo de vinos y de quesos Canarios. Puedes comprar tu entrada con una copa de vino incluida. La sesión de Jazz comienza a las 20:00,NO HAY FECHA DISPONIBLE,Fábrica la Isleta,18:00h,PRECIOS NO DISPONIBLES,ENTRADAS NO DISPONIBLES PARA COMPRAR EN WEB
NOVIEMBRE – CICLO DE TRIBUTOS,https://www.fabricaisleta.com/wp-content/uploads/2023/10/CICLO-DE-TRIBUTOS-noviembre.png,"Este mes de NOVIEMBRE traemos un especial de conciertos tributos a diferentes bandas musicales reconocidas internacionalmente que son y han sido referentes en su género, cada banda será homenajeada desde la creatividad y originalidad de diferentes grupos residentes en la isla, que te harán vivir el show como si fuese el concierto real del artista.",NO HAY FECHA DISPONIBLE,Fábrica la Isleta,21:00h,PRECIOS NO DISPONIBLES,ENTRADAS NO DISPONIBLES PARA COMPRAR EN WEB
CICLO DE TRIBUTOS – DIVAS,https://www.fabricaisleta.com/wp-content/uploads/2023/10/CICLO-DE-TRIBUTOS-noviembre9-1.png,"¡Prepárate para una noche llena de brillo, glamour y música en el #CicloDeTributos!",09 de Noviembre,Fábrica la Isleta,21:00h,13.00 €,ENTRADAS NO DISPONIBLES PARA COMPRAR EN WEB
THE PAPAS AND THE MOJO,https://www.fabricaisleta.com/wp-content/uploads/2023/10/THE-PAPAS-AND-THE-MOJO.jpg,"El grupo de rock “The Papas and The Mojo” lleva ya casi la friolera de 12 años recorriendo los escenarios más candentes de nuestro archipiélago. Tras un proceso de formación de diferentes bandas anteriores tales como Advertencia, Sin Causa, Polen, Si yo fuera rico. La banda se consolida y empieza a realizar sus primeros conciertos en locales y escenarios de diferentes partes de nuestra isla. Uno de los rasgos que caracterizan a esta rock band es la energía y solidez de un directo poderoso, junto con un setlist o repertorio que abordan temas de rock conocidos por todos los amantes de la música. Sin embargo, no sólo se limitan a repertorios en inglés, también manejan clásicos de rock en español, así como una reducida list de temas de carácter propios y de autor.",10 de Noviembre,Fábrica la Isleta,20:00h,10.00 €,ENTRADAS NO DISPONIBLES PARA COMPRAR EN WEB
GUATEQUE SALSERO SBK,https://www.fabricaisleta.com/wp-content/uploads/2023/11/sbk_NOVIEMBRE-3.jpg,Ven al mejor lugar para Bailar SBK.,10 de Noviembre,Fábrica la Isleta,22:30h,8.00 € – 10.00 €,ENTRADAS NO DISPONIBLES PARA COMPRAR EN WEB
SÁBADOS DE TERRACEO: KARINA INFANTE Y JOSÉ ALBERTO MEDINA,https://www.fabricaisleta.com/wp-content/uploads/2023/10/terraceo_11.jpg,"Este mes de NOVIEMBRE  comienza el terraceo todos los sábados.
A partir de las 18:00 puedes venir a nuestra terraza para disfrutar de la música en acústico con diferentes estilos musicales. Si vienes a las 6 podrás conversar con los músicos del día.",11 de Noviembre,Fábrica la Isleta,18:00h,5.00 €,https://www.fabricaisleta.com/evento/sabados-de-terraceo-karina-infante-y-jose-alberto-medina/
KARAOKE NIGHT,https://www.fabricaisleta.com/wp-content/uploads/2023/11/karaoke-noviembre_11-1.jpg,"Karaoke Night es un espacio creado en Fábrica para que vengas a disfrutar con amigos promociones en barra, juegos, y un agradable espacio interior y exterior en terraza con música ambiente. ",11 de Noviembre,Fábrica la Isleta,22:00h,PRECIOS NO DISPONIBLES,ENTRADAS NO DISPONIBLES PARA COMPRAR EN WEB
"JAZZ, VINOS Y QUESOS – JUAN MESA & JOSE ALBERTO MEDINA",https://www.fabricaisleta.com/wp-content/uploads/2023/10/JAZZ_vinos_quesos_12nov-2.jpg,Comenzamos a las 18:00h con picoteo de vinos y de quesos Canarios. Puedes comprar tu entrada con una copa de vino incluida.,12 de Noviembre,Fábrica la Isleta,20:00h,5.00 € – 13.50 €,ENTRADAS NO DISPONIBLES PARA COMPRAR EN WEB
UNDERGROUND JAM SESSION – 12 DE NOVIEMBRE,https://www.fabricaisleta.com/wp-content/uploads/2023/10/UNDERGROUND_JAM_SESION_22.jpg,"Las míticas Underground Jam Session de la Fábrica La Isleta, son el espacio idílico que une músicos de todas partes del mundo, profesionales y amateurs en el escenario de Fábrica la Isleta, para viajar por los sonidos y la improvisación musical.",12 de Noviembre,Fábrica la Isleta,21:30h,5.00 €,https://www.fabricaisleta.com/evento/underground-jam-session-12-de-noviembre/
