titulo,descripcion,fecha,lugar,link de compra
Angry Birds Activity Park en Las Palmas de Gran Canaria,"No te pierdas el concierto ""Angry Birds Activity Park en Las Palmas de Gran Canaria"" el próximo Jueves 12 de Octubre de 2023 en Angry Birds Activity Park Gran Canaria, Urbanización Puerto Rico, Av. de la Cornisa, 2, 35130 a partir de las 00:00
Con los artistas:

Park
Angry Birds Activity Park",Varias Fechas (12/10/2023 - 10/12/2023),Angry Birds Activity Park Gran Canaria,https://fever.pxf.io/c/1433913/1804385/16345?prodsku=141666&u=https://feverup.com/m/141666&intsrc=CATF_14215
Mundo Aborigen en Las Palmas de Gran Canaria,"No te pierdas el concierto de Aborigen, ""Mundo Aborigen en Las Palmas de Gran Canaria"" el próximo Jueves 12 de Octubre de 2023 en Mundo Aborigen, Mundo Aborigen, 35107 a partir de las 00:00
Con los artistas:

Aborigen",Varias Fechas (12/10/2023 - 10/12/2023),Mundo Aborigen,https://fever.pxf.io/c/1433913/1804385/16345?prodsku=141747&u=https://feverup.com/m/141747&intsrc=CATF_14215
Bus turístico por Las Palmas de Gran Canaria,"No te pierdas el concierto ""Bus turístico por Las Palmas de Gran Canaria"" el próximo Jueves 12 de Octubre de 2023 en Parque Santa Catalina, Parque Santa Catalina 35007 a partir de las 10:00
Con los artistas:

Bus Turístico
Gran Canaria",Varias Fechas (12/10/2023 - 04/12/2023),Parque Santa Catalina,https://fever.pxf.io/c/1433913/1804385/16345?prodsku=141684&u=https://feverup.com/m/141684&intsrc=CATF_14215
Paseo en camello por las dunas de Maspalomas en Las Palmas de Gran Canaria,"No te pierdas el concierto de Paseo en camello por las dunas de Maspalomas, ""Paseo en camello por las dunas de Maspalomas en Las Palmas de Gran Canaria"" el próximo Viernes 13 de Octubre de 2023 en Safari en camello, C. Oceanía 35100 a partir de las 09:00
Con los artistas:

Paseo en camello por las dunas de Maspalomas",Varias Fechas (13/10/2023 - 10/12/2023),Safari en camello,https://fever.pxf.io/c/1433913/1804385/16345?prodsku=141716&u=https://feverup.com/m/141716&intsrc=CATF_14215
Jalezz en Gran Canaria,"No te pierdas el concierto de Jalezz, ""Jalezz en Gran Canaria"" el próximo Sábado 11 de Noviembre de 2023 en ODISEA MUSIC CLUB, AVENIDA DE CANARIAS, 429 a partir de las 23:00
Con los artistas:

Jalezz
Javier Martínez González, conocido como Jalezz nació en Sevilla (España) el 19 de Junio de 1998 A los 16 años empezó a curiosear por el mundo de la música, donde acabaría subiendo a redes sociales sus primeras covers. Empezó a conocerse más por hacer sus versiones de otros temas por la plataforma de Tik Tok. El estilo por el que decanta es la música urbana y entre sus mayores referentes se encuentran Feid, Dalex, Rauw y Lenny Tavárez.",En Concierto 11/11/2023 a las 23:00,ODISEA MUSIC CLUB,https://www.tomaticket.es/es-es/entradas-jalezz-gran-canaria
Tardeo 5 estrellas en Gran Canaria,"Domingo 12 Nov
17:00 - 00:00
Grupo principal: fijo discontinuo
Dj: José viera

Entrada: 10€ con una copa o dos cañas

VIVE LOS MEJORES TARDEOS DESDE LAS ALTURAS EN ATICO",12/11/2023 a las 17:00,Ático Terraza Lounge,https://www.tomaticket.es/es-es/entradas-tardeo-5-estrellas-en-gran-canaria
MOMO - en Cruce de Arinaga,"¡Sumérgete en el mágico universo de ""Momo""! Esta cautivadora obra, basada en la",18/11/2023 a las 18:00,Teatro Cruce de Culturas,https://www.tickentradas.com/eventos/momo-cruce-culturas-2023
CASCANUECES - INTERNATIONAL BALLET COMPANY en Agüimes,"La Navidad es una gran fiesta en casa de Clara, y todos los niños reciben un regalo. A",19/11/2023 a las 18:00,Teatro Auditorio Agüimes,https://www.tickentradas.com/eventos/cascanueces-teatro-auditorio-aguimes-2023
Medea. Filmoteca Filarmónica LPGC,"Título: MEDEA , FILMOTECA FILARMÓNICA LPGC
 Año: 1969
Duración:118’
País: ITALIA
Dirección:  Pier Paolo Pasolini
Guión: Pier Paolo Pasolini
Música: Pier Paolo PAsolini
Fotografía: Ennio Guarnieri
Reparto:  Maria Callas, Massimo Girotti, Guiuseppe Gentile yLaurent Terzieff
-Precio de la entrada: De pago. 5 € público general. 3 € socios SFGC
Sinopsis:  Adaptación de la tragedia de Eurípides, en la que Pasolini jugó a oponer el racionalismo propio de la cultura helénica con la sensualidad y la magia orientales. El resultado de la operación resultó aparente, aunque sólo parcialmente positivo. Es un espectáculo que posee una innegable capacidad de fascinación, pero al que le falta una mayor dosis de coherencia.
 ",21/11/2023 a las 19:00,Centro Cultural CICCA,https://www.tomaticket.es/es-es/entradas-medea-filmoteca-filarmonica
Michael Alonso en Concierto," ""Michael Alonso en Concierto""
Día: 24 de Noviembre de 2023
Hora de comienzo: 20:00H horas.
Duración: 100 min minutos aproximadamente 
Precio : 13€
Michael Alonso presenta su nuevo espectáculo, “Especie En Extinción”. Un concierto cargado de emociones, buenas vibras y mucho color. Con nuevas canciones compuestas por el propio artista y que incluirá en su segundo trabajo discográfico. Creado para disfrutar y dar un “chute” de energía.
¡No te lo puedes perder!",24/11/2023 a las 20:00,Centro Cultural CICCA,https://www.tomaticket.es/es-es/entradas-michael-alonso-en-concierto
